"","id","designer"
"364","256680","Justin D. Jacobson"
"365","256680","Brian Neff"
"366","285967","Eric M. Lang"
"367","150376","Jonathan Gilmour-Long"
"368","150376","Isaac Vega"
"369","215","Urs Hostettler"
"370","241451","Jenny Iglesias"
"371","241451","Nick Little (I)"
"372","241451","Kevin Riley"
"373","293014","Serge Laget"
"374","332686","Cole Wehrle"
"375","269207","Wolfgang Warsch"
"376","182631","Robert Dougherty"
"377","182631","Darwin Kastle"
"378","91","Ted Raicer"
"379","7854","Kris Burm"
"380","9209","Alan R. Moon"
"381","245638","Flaminia Brasini"
"382","245638","Virginio Gigli"
"383","306735","Tomas Uhlir"
"384","126042","Rustan Hakansson"
"385","126042","Nina Hakansson"
"386","126042","Einar Rosen"
"387","126042","Robert Rosen"
"388","295486","Reiner Knizia"
"389","165722","Mikkel Bertelsen"
"390","195421","Ryan Laukat"
"391","283155","Kevin Russ"
"392","21050","Chad Jensen"
"393","54998","Bruno Cathala"
"394","54998","Ludovic Maublanc"
"395","188834","Mike Boxleiter"
"396","188834","Tommy Maranges"
"397","188834","Max Temkin"
"398","221194","Jonathan Gilmour-Long"
"399","221194","Brian Lewis"
"400","260605","Steffen Bogen"
"401","146886","Michael Keller (II)"
"402","146886","Andreas Odendahl"
"403","224037","Vlaada Chvatil"
"404","224037","Scot Eaton"
"405","223040","Bruce Glassco"
"406","129437","Devin Low"
"407","232832","Emerson Matsuuchi"
"408","158600","Kota Nakayama (中山 宏太)"
"409","274637","Rob Daviau"
"410","274637","Justin D. Jacobson"
"411","156129","Tobey Ho"
"412","318977","Johannes Sich"
"413","192291","Phil Walker-Harding"
"414","176189","Raphael Guiton"
"415","176189","Jean-Baptiste Lullien"
"416","176189","Nicolas Raoult"
"417","3","Reiner Knizia"
"418","176494","Andreas Pelikan"
"419","176494","Alexander Pfister"
"420","199478","Asger Harding Granerud"
"421","555","Wolfgang Kramer"
"422","555","Richard Ulrich"
"423","555","Jens Christopher Ulrich"
"424","19857","Ed Carter (III)"
"425","19857","Carl Chudyk"
"426","169426","Keith Matejka"
"427","224783","Marc Neidlinger"
"428","300322","Uwe Rosenberg"
"429","232405","Herve Lemaitre"
"430","228341","Vladimir Suchy"
"431","109276","Vital Lacerda"
"432","198994","Robert Dougherty"
"433","198994","Darwin Kastle"
"434","286096","Jamey Stegmaier"
"435","194655","Gord!"
"436","9216","Rudiger Dorn"
"437","421","Bruce Shelley"
"438","421","Francis Tresham"
"439","311193","Martin Wallace"
"440","20551","Dirk Henn"
"441","31481","Vlaada Chvatil"
"442","156546","Alex Hague"
"443","156546","Justin Vickers"
"444","128621","Jamey Stegmaier"
"445","128621","Alan Stone"
"446","329839","Francois Romain"
"447","305096","Stan Kordonskiy"
"448","284653","Jay Cormier"
"449","284653","Sen-Foong Lim"
"450","27708","Christian Leonhard"
"451","27708","Jason Matthews"
"452","223321","Jakub Lapot"
"453","223321","Przemyslaw Rymer"
"454","223321","Ignacy Trzewiczek"
"455","140620","Cedrick Chaboussit"
"456","323612","German P. Millan"
"457","297562","Jacques Bariot"
"458","297562","Guillaume Montiage"
"459","351913","Simone Luciani"
"460","351913","Daniele Tascini"
"461","239188","David Cicurel"
"462","150145","Brent Beck"
"463","150145","Jeffrey Beck"
"464","127060","Stefan Feld"
"465","295895","Dave Beck"
"466","204583","Bruno Cathala"
"467","298047","Andrea Chiarvesio"
"468","298047","Eric M. Lang"
"469","385761","Johannes Goupy"
"470","385761","Corentin Lebrat"
"471","230253","Robert Dougherty"
"472","230253","Darwin Kastle"
"473","760","Reiner Knizia"
"474","27833","Martin Wallace"
"475","270633","Jenny Iglesias"
"476","270633","Nick Little (I)"
"477","270633","Kevin Riley"
"478","291572","Cole Wehrle"
"479","367220","Bruno Cathala"
"480","367220","Theo Riviere"
"481","2655","John Yianni"
"482","144344","Matthias Cramer"
"483","144344","Stefan Malz"
"484","144344","Louis Malz"
"485","284189","Emerson Matsuuchi"
"486","400314","Connie Vogelmann"
"487","342070","Dave Chalker"
"488","342070","Brett Myers"
"489","342070","Noah Cohen"
"490","342070","Rob Daviau"
"491","342070","Justin D. Jacobson"
"492","342070","Jim Keifer"
"493","342070","Brian Neff"
"494","302723","Mr. Bistro"
"495","302723","J. Arthur Ellis"
"496","302723","Isaac Vega"
"497","246784","Hal Duncan"
"498","246784","Ruth Veevers"
"499","206718","Paolo Mori"
"500","146508","Peggy Chassenet"
"501","146508","Manuel Rozoy"
"502","356123","Fabien Gridel"
"503","356123","Yoann Levet"
"504","244271","Nate Chatellier"
"505","244271","Manny Trembley"
"506","139976","Sandy Petersen"
"507","139976","Lincoln Petersen"
"508","108745","Regis Bonnessee"
"509","92828","Jean-Louis Roubira"
"510","155068","Thiago Aranha"
"511","155068","Guilherme Goulart"
"512","155068","Eric M. Lang"
"513","155068","Fred Perret"
"514","46213","(Uncredited)"
"515","295374","Chris Handy (I)"
"516","358661","Luke Laurie"
"517","358661","Maximus Laurie"
"518","367966","Carl de Visser"
"519","367966","Jarratt Gray"
"520","176734","Tom Jolly"
"521","176734","Luke Laurie"
"522","257499","Nikki Valens"
"523","257499","Richard Launius"
"524","257499","Kevin Wilson"
"525","277085","Seiji Kanai"
"526","277085","Justin Kemppainen"
"527","277085","Alexandar Ortloff-Tang"
"528","160477","Shimpei Sato"
"529","19777","Jeroen Doumen"
"530","19777","Joris Wiersinga"
"531","50","Reiner Knizia"
"532","331106","Lukasz Wozniak"
"533","24181","Mac Gerdts"
"534","66589","Mac Gerdts"
"535","318184","Nigel Buckle"
"536","318184","David Turczi"
"537","172","Stefan Dorra"
"538","97207","Vlaada Chvatil"
"539","262211","Josh J. Carlson"
"540","262211","Adam Carlson"
"541","262211","Josh Wielgus"
"542","38453","Vlaada Chvatil"
"543","5","Sid Sackson"
"544","111341","Jeroen Doumen"
"545","111341","Joris Wiersinga"
"546","155873","Friedemann Friese"
"547","345972","Muneyuki Yokouchi (横内宗幸)"
"548","22545","Glenn Drover"
"549","319966","Peer Sylvester"
"550","129622","Seiji Kanai"
"551","332800","Colby Dauch"
"552","2653","Julian Courtland-Smith"
"553","350316","S J Macdonald"
"554","350316","Shem Phillips"
"555","154203","Ignacy Trzewiczek"
"556","245655","Hjalmar Hach"
"557","245655","Lorenzo Silva"
"558","370591","Michael Palm"
"559","370591","Lukas Zach"
"560","187617","Chris Taylor (I)"
"561","187617","Alan Emrich"
"562","54","Michael Kiesling"
"563","54","Wolfgang Kramer"
"564","143693","Uwe Rosenberg"
"565","209685","Emerson Matsuuchi"
"566","184921","Richard Garfield"
"567","181279","Frank Brooks"
"568","181279","Stephen Hand"
"569","181279","Kevin Wilson"
"570","136888","Stefan Feld"
"571","227789","Michael Kiesling"
"572","227789","Andreas Schmidt"
"573","163967","Scott Almes"
"574","54138","Mac Gerdts"
"575","93260","Colby Dauch"
"576","234277","Uwe Rosenberg"
"577","47","Karsten Hartwig"
"578","188866","Ron Gonzalo Garcia"
"579","285192","Michal Golab Golebiowski"
"580","285192","Filip Milunski"
"581","48726","Tory Niemann"
"582","59294","Corey Konieczka"
"583","260180","Michal Mikes"
"584","260180","Jan Soukal"
"585","260180","Adam Spanel"
"586","336986","Manny Vega"
"587","203420","Inka Brand"
"588","203420","Markus Brand"
"589","40692","Philippe Keyaerts"
"590","172081","Tim Fowers"
"591","301880","Shem Phillips"
"592","63888","Carl Chudyk"
"593","25292","Kasper Aagaard"
"594","25292","Christian Marcussen"
"595","172818","Ryan Laukat"
"596","304420","Stefan Feld"
"597","21241","Michal Oracz"
"598","350933","Matthew Dunstan"
"599","350933","Brett J. Gilbert"
"600","193037","Jonathan Gilmour-Long"
"601","193037","Isaac Vega"
"602","202426","TauCeti Deichmann"
"603","140934","Dan Cassar"
"604","345584","Skaff Elias"
"605","345584","Richard Garfield"
"606","345584","Marvin Hegen"
"607","345584","Christian Kudahl"
"608","13122","Jeroen Doumen"
"609","13122","Joris Wiersinga"
"610","318084","Ivan Lashin"
"611","349067","Nate French"
