"","id","category"
"641","258779","Space Exploration"
"642","258779","Territory Building"
"643","127023","Ancient"
"644","127023","Fantasy"
"645","127023","Miniatures"
"646","127023","Mythology"
"647","127023","Wargame"
"648","2511","Deduction"
"649","2511","Murder / Mystery"
"650","2511","Novel-based"
"651","2511","Post-Napoleonic"
"652","2511","Spies / Secret Agents"
"653","249259","Abstract Strategy"
"654","249259","Medieval"
"655","249259","Wargame"
"656","209418","Card Game"
"657","209418","Medieval"
"658","328871","Card Game"
"659","328871","Science Fiction"
"660","328871","Space Exploration"
"661","233398","Exploration"
"662","233398","Nautical"
"663","233398","Renaissance"
"664","148949","Economic"
"665","296151","Medieval"
"666","146652","Card Game"
"667","146652","Fighting"
"668","146652","Horror"
"669","146652","Movies / TV / Radio theme"
"670","146652","Science Fiction"
"671","265188","City Building"
"672","265188","Economic"
"673","265188","Farming"
"674","265188","Territory Building"
"675","294484","Card Game"
"676","294484","Fantasy"
"677","294484","Fighting"
"678","294484","Horror"
"679","294484","Novel-based"
"680","283948","Dice"
"681","283948","Economic"
"682","283948","Medieval"
"683","283948","Travel"
"684","359609","Adventure"
"685","359609","Card Game"
"686","359609","Collectible Components"
"687","359609","Exploration"
"688","359609","Fantasy"
"689","359609","Horror"
"690","359609","Novel-based"
"691","103885","Aviation / Flight"
"692","103885","Bluffing"
"693","103885","Collectible Components"
"694","103885","Miniatures"
"695","103885","Movies / TV / Radio theme"
"696","103885","Science Fiction"
"697","103885","Wargame"
"698","244522","Dice"
"699","244522","Number"
"700","329082","Card Game"
"701","329082","Fighting"
"702","329082","Science Fiction"
"703","82222","Adventure"
"704","82222","Exploration"
"705","82222","Fighting"
"706","82222","Science Fiction"
"707","82222","Space Exploration"
"708","82222","Transportation"
"709","54043","Arabian"
"710","54043","Card Game"
"711","54043","Economic"
"712","233867","City Building"
"713","350184","Animals"
"714","350184","Card Game"
"715","350184","Environmental"
"716","271896","Adventure"
"717","271896","Exploration"
"718","271896","Movies / TV / Radio theme"
"719","271896","Science Fiction"
"720","271896","Space Exploration"
"721","339789","City Building"
"722","339789","Science Fiction"
"723","283355","Bluffing"
"724","283355","Fighting"
"725","283355","Negotiation"
"726","283355","Novel-based"
"727","283355","Political"
"728","283355","Science Fiction"
"729","283355","Wargame"
"730","9609","Adventure"
"731","9609","Fantasy"
"732","9609","Fighting"
"733","9609","Novel-based"
"734","9609","Territory Building"
"735","9609","Wargame"
"736","43111","Fantasy"
"737","43111","Fighting"
"738","43111","Horror"
"739","43111","Mythology"
"740","43111","Wargame"
"741","188920","Adventure"
"742","188920","Exploration"
"743","188920","Mature / Adult"
"744","188920","Modern Warfare"
"745","188920","Video Game Theme"
"746","364011","Animals"
"747","364011","Economic"
"748","10630","Miniatures"
"749","10630","Wargame"
"750","10630","World War II"
"751","314491","Animals"
"752","314491","Card Game"
"753","314491","Environmental"
"754","104162","Adventure"
"755","104162","Exploration"
"756","104162","Fantasy"
"757","104162","Fighting"
"758","104162","Miniatures"
"759","227224","Dice"
"760","227224","Economic"
"761","199561","Dice"
"762","199561","Puzzle"
"763","25021","Civil War"
"764","25021","Pike and Shot"
"765","25021","Wargame"
"766","391163","Animals"
"767","391163","Card Game"
"768","391163","Educational"
"769","391163","Environmental"
"770","39463","Bluffing"
"771","39463","Negotiation"
"772","39463","Science Fiction"
"773","39463","Space Exploration"
"774","155426","Post-Napoleonic"
"775","155426","Puzzle"
"776","316377","Ancient"
"777","316377","Card Game"
"778","316377","City Building"
"779","316377","Civilization"
"780","316377","Economic"
"781","118","Card Game"
"782","118","Economic"
"783","242302","Dice"
"784","242302","Science Fiction"
"785","242302","Space Exploration"
"786","128882","Bluffing"
"787","128882","Card Game"
"788","128882","Deduction"
"789","128882","Fantasy"
"790","128882","Medieval"
"791","128882","Negotiation"
"792","128882","Party Game"
"793","128882","Spies / Secret Agents"
"794","282524","Horror"
"795","282524","Miniatures"
"796","282524","Movies / TV / Radio theme"
"797","17133","Trains"
"798","17133","Transportation"
"799","17133","Video Game Theme"
"800","300531","Card Game"
"801","300531","Exploration"
"802","300531","Prehistoric"
"803","287954","Abstract Strategy"
"804","287954","Puzzle"
"805","31627","Trains"
"806","103343","Bluffing"
"807","103343","Fantasy"
"808","103343","Negotiation"
"809","103343","Novel-based"
"810","103343","Political"
"811","103343","Wargame"
"812","374173","Card Game"
"813","374173","Fighting"
"814","374173","Movies / TV / Radio theme"
"815","374173","Science Fiction"
"816","70149","City Building"
"817","70149","Economic"
"818","70149","Industry / Manufacturing"
